,title,artist,year,bpm,energy,danceability,dB,liveness,valence,duration,acousticness,speechiness,popularity,genre
187,Clown,Emeli Sandé,2013,130,23,45,-8,11,23,221,92,4,60,dance pop
188,What Do You Mean? - Acoustic,Justin Bieber,2015,125,36,77,-11,10,76,204,79,4,64,canadian pop
189,Sucker,Jonas Brothers,2019,138,73,84,-5,11,95,181,4,6,86,boy band
190,DJ Got Us Fallin' In Love (feat. Pitbull),Usher,2010,120,86,66,-3,8,65,221,3,11,52,atl hip hop
191,Break Free,Ariana Grande,2015,130,70,69,-5,20,28,215,1,5,75,dance pop
192,Send My Love (To Your New Lover),Adele,2016,164,52,69,-8,17,56,223,4,10,61,british soul
193,Hall of Fame,The Script,2013,85,87,42,-4,12,63,203,7,6,80,celtic rock
194,My Way,Calvin Harris,2017,120,91,82,-3,16,54,219,9,4,78,dance pop
195,We R Who We R,Kesha,2011,120,82,74,-5,12,65,205,1,4,72,dance pop
196,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull,2014,125,94,60,-4,10,55,222,0,7,56,dance pop
197,Never Be the Same - Radio Edit,Camila Cabello,2018,130,69,63,-4,12,25,227,16,9,57,dance pop
198,E.T.,Katy Perry,2011,152,87,62,-5,37,76,230,2,18,66,dance pop
199,What's My Name?,Rihanna,2011,100,79,69,-3,8,58,263,23,7,69,barbadian pop
200,Don't Stop the Party (feat. TJR),Pitbull,2012,127,96,72,-4,38,95,206,1,9,59,dance pop
201,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,2012,90,80,65,-3,27,80,211,3,10,54,dance pop
202,Call You Mine,The Chainsmokers,2019,104,70,59,-6,34,52,218,20,3,81,electropop
203,I'm Not The Only One,Sam Smith,2015,82,49,68,-6,8,49,239,53,4,84,pop
204,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,2016,113,83,67,-6,19,70,236,1,7,79,dance pop
205,We Are Here,Alicia Keys,2015,93,67,64,-6,8,8,285,43,4,49,hip pop
206,Don't Be so Hard on Yourself,Jess Glynne,2015,120,82,57,-3,16,66,211,6,3,52,dance pop
207,The Edge Of Glory,Lady Gaga,2011,128,77,58,-6,11,36,321,0,4,67,dance pop
208,We Found Love,Rihanna,2011,128,77,73,-4,11,60,215,3,4,61,barbadian pop
209,Invitation,Britney Spears,2016,112,65,37,-7,9,16,200,3,11,44,dance pop
210,Yeah 3x,Chris Brown,2011,130,88,71,-3,9,70,242,0,4,69,dance pop
211,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,2013,126,81,57,-6,13,11,215,2,6,74,art pop
212,What About Love,Austin Mahone,2013,100,78,63,-7,4,28,203,0,4,54,dance pop
213,One Call Away (feat. Tyga) - Remix,Charlie Puth,2016,91,69,75,-5,13,52,192,26,4,41,dance pop
214,Break Your Heart,Taio Cruz,2010,122,90,67,-5,8,63,186,0,3,33,dance pop
215,Closer,The Chainsmokers,2017,95,52,75,-6,11,66,245,41,3,86,electropop
216,Part Of Me,Katy Perry,2012,130,92,68,-5,7,77,216,0,4,71,dance pop
217,A Little Party Never Killed Nobody (All We Got),Fergie,2013,130,62,76,-6,9,52,241,1,18,65,dance pop
218,Best Thing I Never Had,Beyoncé,2011,99,65,55,-4,9,30,254,14,3,73,dance pop
219,Judas,Lady Gaga,2011,131,93,66,-4,27,53,249,0,7,63,dance pop
220,Grenade,Bruno Mars,2011,110,56,71,-7,12,23,223,15,6,75,pop
