,title,artist,year,bpm,energy,danceability,dB,liveness,valence,duration,acousticness,speechiness,popularity,genre
1561,All I Ask,Adele,2016,142,28,59,-5,15,34,272,88,3,71,british soul
1562,Beautiful People (feat. Khalid),Ed Sheeran,2019,93,65,64,-8,8,55,198,12,19,86,pop
1563,Bloodstream,Ed Sheeran,2015,89,59,48,-6,6,27,309,20,5,52,pop
1564,Last Friday Night (T.G.I.F.),Katy Perry,2011,126,81,65,-4,67,72,231,0,4,27,dance pop
1565,Start,John Legend,2016,110,4,52,-15,9,26,310,99,4,47,neo mellow
1566,Don't,Ed Sheeran,2015,95,61,81,-7,64,85,220,1,7,74,pop
1567,We Can't Stop,Miley Cyrus,2013,80,62,61,-6,37,48,231,1,3,78,dance pop
1568,Focus,Ariana Grande,2015,100,88,67,-6,44,79,211,27,24,66,dance pop
1569,Same Old Love,Selena Gomez,2015,98,59,67,-4,21,44,229,2,3,69,dance pop
1570,MOVE TO MIAMI,Enrique Iglesias,2018,100,87,76,-4,7,90,169,3,5,64,dance pop
1571,Wings,Birdy,2014,83,71,47,-5,16,22,252,8,3,62,neo mellow
1572,TiK ToK,Kesha,2010,120,84,76,-3,29,71,200,10,14,80,dance pop
1573,How Do You Sleep?,Sam Smith,2019,111,68,48,-5,8,35,202,15,9,93,pop
1574,Messin' Around,Pitbull,2017,158,81,57,-5,4,78,223,2,5,51,dance pop
1575,See You Again (feat. Charlie Puth),Wiz Khalifa,2015,80,48,69,-8,6,28,230,37,8,56,hip hop
1576,"Hey, Soul Sister",Train,2010,97,89,67,-4,8,80,217,19,4,83,neo mellow
1577,PILLOWTALK,ZAYN,2016,125,70,59,-4,9,43,204,10,5,66,dance pop
1578,Sugar,Maroon 5,2015,120,79,75,-7,9,88,235,6,3,66,pop
1579,It's On Again - Main Soundtrack,Alicia Keys,2014,110,54,64,-9,25,53,230,10,11,30,hip pop
1580,Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,2016,108,53,63,-7,18,42,225,40,4,79,dance pop
1581,Judas,Lady Gaga,2011,131,93,66,-4,27,53,249,0,7,63,dance pop
1582,Anaconda,Nicki Minaj,2014,130,60,96,-6,21,65,260,7,18,50,dance pop
1583,Love Yourself,Justin Bieber,2015,100,38,61,-10,28,52,234,84,44,83,canadian pop
1584,Written in the Stars (feat. Eric Turner),Tinie Tempah,2011,91,95,64,-4,18,57,220,6,7,52,dance pop
1585,How Do You Sleep?,Sam Smith,2019,111,68,48,-5,8,35,202,15,9,93,pop
1586,Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,2014,128,74,60,-3,9,46,217,11,4,64,complextro
1587,Run Away With Me,Carly Rae Jepsen,2016,119,72,56,-6,5,25,251,1,5,63,canadian pop
1588,"How Far I'll Go - From ""Moana""",Alessia Cara,2017,181,54,31,-10,7,16,176,16,35,71,canadian contemporary r&b
1589,Starboy,The Weeknd,2017,186,59,68,-7,14,49,230,14,28,85,canadian contemporary r&b
1590,Easy Love,Sigala,2015,124,94,68,-4,12,65,230,18,6,67,dance pop
1591,We R Who We R,Kesha,2011,120,82,74,-5,12,65,205,1,4,72,dance pop
1592,No Vacancy (with Sebastián Yatra),OneRepublic,2017,100,76,69,-4,14,59,223,8,4,57,dance pop
1593,Confident,Demi Lovato,2016,130,75,59,-6,9,34,206,0,7,75,dance pop
1594,What About Us,P!nk,2018,114,59,39,-6,9,19,272,3,6,66,dance pop
1595,Roar,Katy Perry,2013,180,77,55,-5,35,46,224,0,4,78,dance pop
1596,I'm Into You,Jennifer Lopez,2011,84,75,59,-4,8,70,200,2,14,59,dance pop
1597,A Sky Full of Stars,Coldplay,2014,125,68,55,-6,21,16,268,1,3,60,permanent wave
1598,Cheap Thrills,Sia,2016,90,80,59,-5,8,73,225,6,22,64,australian dance
1599,Let Me,ZAYN,2018,168,57,46,-6,10,19,185,24,5,72,dance pop
1600,Takeaway,The Chainsmokers,2019,100,51,53,-8,10,35,210,13,3,83,electropop
1601,You Da One,Rihanna,2012,127,72,70,-5,13,86,200,50,4,57,barbadian pop
1602,Runnin' (Lose It All),Naughty Boy,2015,139,85,32,-6,48,8,213,1,8,69,tropical house
1603,I Like It,Cardi B,2018,136,73,82,-4,37,65,253,10,13,85,pop
1604,Worth It,Fifth Harmony,2015,100,77,88,-4,12,59,225,6,9,75,dance pop
1605,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,2018,95,30,59,-7,12,36,260,78,3,78,pop
1606,G.U.Y.,Lady Gaga,2014,110,92,62,-3,12,57,233,1,4,65,dance pop
1607,Havana (feat. Young Thug),Camila Cabello,2018,105,52,77,-4,13,39,217,18,3,85,dance pop
1608,OMG (feat. will.i.am),Usher,2010,130,75,78,-6,36,33,269,20,3,72,atl hip hop
1609,The Way,Ariana Grande,2013,82,88,65,-3,8,86,227,29,11,68,dance pop
1610,Good Time,Owl City,2012,126,87,56,-4,37,68,206,2,14,73,pop
1611,Rude,MAGIC!,2014,144,76,77,-5,31,93,225,4,4,79,pop
1612,Wiggle (feat. Snoop Dogg),Jason Derulo,2014,82,62,70,-7,16,72,193,8,25,67,dance pop
1613,Stitches,Shawn Mendes,2016,150,75,75,-7,5,76,207,2,7,78,canadian pop
1614,Written in the Stars (feat. Eric Turner),Tinie Tempah,2011,91,95,64,-4,18,57,220,6,7,52,dance pop
1615,Bang Bang,Jessie J,2015,150,75,71,-4,38,73,199,27,9,61,australian pop
1616,Lights - Single Version,Ellie Goulding,2012,120,80,68,-6,13,78,211,3,4,65,dance pop
1617,Bang My Head (feat. Sia & Fetty Wap),David Guetta,2015,108,87,60,-4,10,59,193,5,8,54,dance pop
1618,Take It Off,Kesha,2010,125,68,73,-5,9,74,215,0,3,66,dance pop
1619,The Hills,The Weeknd,2016,113,56,58,-7,14,14,242,7,5,84,canadian contemporary r&b
1620,Remember I Told You,Nick Jonas,2017,113,53,68,-6,4,84,202,14,28,53,dance pop
1621,Heartbreaker,Justin Bieber,2013,105,52,56,-7,34,58,263,14,10,61,canadian pop
1622,Starving,Hailee Steinfeld,2016,100,62,73,-4,11,51,182,38,6,78,dance pop
1623,Stay With Me,Sam Smith,2014,84,42,42,-6,11,18,173,59,4,85,pop
1624,All Around The World (La La La),R3HAB,2019,125,86,73,-5,11,52,148,48,3,82,big room
1625,Body Moves,DNCE,2017,102,69,65,-5,4,86,236,0,4,62,dance pop
1626,Love Incredible (feat. Camila Cabello),Cashmere Cat,2017,167,50,37,-9,20,21,180,6,12,59,downtempo
1627,Attention,Charlie Puth,2018,100,61,78,-5,13,80,209,11,5,83,dance pop
1628,Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,2013,93,81,55,-6,15,34,271,9,31,59,hip pop
1629,Eenie Meenie,Sean Kingston,2010,121,61,72,-4,11,83,202,5,3,71,dance pop
1630,Greenlight (feat. Flo Rida & LunchMoney Lewis),Pitbull,2017,115,83,70,-6,36,63,245,28,27,54,dance pop
1631,Memories,Maroon 5,2019,91,32,76,-7,8,57,189,84,5,99,pop
1632,Happier,Marshmello,2019,100,79,69,-3,17,67,214,19,5,90,brostep
1633,I Don't Care (with Justin Bieber),Ed Sheeran,2019,102,68,80,-5,9,84,220,9,4,85,pop
1634,Runnin' (Lose It All),Naughty Boy,2016,139,85,32,-6,48,8,213,1,8,69,tropical house
1635,Marry You,Bruno Mars,2010,145,83,62,-5,10,48,230,33,4,73,pop
1636,Heartbeat Song,Kelly Clarkson,2015,149,80,49,-4,6,48,199,1,5,69,dance pop
1637,Tee Shirt - Soundtrack Version,Birdy,2014,76,34,68,-9,9,56,160,84,3,49,neo mellow
1638,Kill Em With Kindness,Selena Gomez,2016,120,88,76,-5,10,40,218,1,4,70,dance pop
1639,Ain't Your Mama,Jennifer Lopez,2016,120,68,76,-6,7,82,218,5,23,72,dance pop
1640,Lay It All on Me,Rudimental,2015,123,75,67,-7,19,48,242,14,4,62,dance pop
1641,Needed Me,Rihanna,2016,111,31,67,-8,8,30,192,11,24,80,barbadian pop
1642,Hall of Fame,The Script,2013,85,87,42,-4,12,63,203,7,6,80,celtic rock
1643,Into You,Ariana Grande,2016,108,73,62,-6,14,37,244,2,11,80,dance pop
1644,Call You Mine,The Chainsmokers,2019,104,70,59,-6,34,52,218,20,3,81,electropop
1645,Lights - Single Version,Ellie Goulding,2012,120,80,68,-6,13,78,211,3,4,65,dance pop
1646,Boyfriend,Justin Bieber,2012,97,55,72,-6,13,33,171,4,5,71,canadian pop
1647,Team,Lorde,2014,100,58,69,-7,31,42,193,17,9,73,art pop
1648,Something Just Like This,The Chainsmokers,2017,103,65,61,-7,17,51,248,3,4,78,electropop
1649,Please Don't Go,Mike Posner,2011,120,88,70,-4,13,66,197,0,3,63,dance pop
1650,WTF (Where They From),Missy Elliott,2016,120,82,93,-3,6,56,193,2,20,58,dance pop
1651,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,2012,90,80,65,-3,27,80,211,3,10,54,dance pop
1652,Hello,Martin Solveig,2010,128,98,67,-3,10,45,191,1,3,0,big room
1653,Animal,Neon Trees,2010,148,83,48,-6,38,74,212,0,4,65,indie pop
1654,Reality - Radio Edit,Lost Frequencies,2015,122,70,71,-8,7,60,159,2,3,61,belgian edm
1655,Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,2016,108,88,75,-4,23,75,166,4,7,73,dance pop
1656,There's Nothing Holdin' Me Back,Shawn Mendes,2018,122,81,87,-4,8,97,199,38,6,84,canadian pop
1657,Kissing Strangers - Remix,DNCE,2017,120,77,76,-6,8,81,202,8,5,43,dance pop
1658,2U (feat. Justin Bieber),David Guetta,2018,145,61,53,-7,23,53,195,23,6,65,dance pop
1659,Genie In a Bottle,Christina Aguilera,2015,176,80,63,-7,14,91,218,21,16,72,dance pop
1660,Payphone,Maroon 5,2012,110,75,74,-5,29,55,231,2,4,79,pop
1661,Beautiful Birds (feat. Birdy),Passenger,2016,86,17,39,-13,11,14,214,91,3,36,folk-pop
1662,Titanium (feat. Sia),David Guetta,2012,126,79,60,-4,13,30,245,7,10,80,dance pop
1663,Good Life,OneRepublic,2011,95,69,63,-8,13,65,253,8,5,72,dance pop
1664,Anything Could Happen,Ellie Goulding,2013,103,78,70,-4,14,38,286,43,3,52,dance pop
1665,Sparks,Hilary Duff,2015,122,88,85,-5,10,79,186,4,6,44,dance pop
1666,Run Run Run,Kelly Clarkson,2015,112,37,28,-7,11,8,273,45,4,36,dance pop
1667,Cold Water (feat. Justin Bieber & MØ),Major Lazer,2016,93,80,61,-5,16,50,185,7,4,73,dance pop
1668,International Love,Pitbull,2012,120,86,67,-3,34,65,227,1,5,72,dance pop
1669,Havana (feat. Young Thug),Camila Cabello,2018,105,52,77,-4,13,39,217,18,3,85,dance pop
1670,Crying in the Club,Camila Cabello,2017,85,62,33,-6,16,60,216,33,38,75,dance pop
1671,Time of Our Lives,Pitbull,2015,124,80,72,-6,69,72,229,9,6,45,dance pop
1672,The Time (Dirty Bit),The Black Eyed Peas,2010,128,81,82,-8,60,44,308,7,7,70,dance pop
1673,I Love It (feat. Charli XCX),Icona Pop,2013,126,91,71,-3,15,82,157,1,3,67,candy pop
1674,...Ready For It? - BloodPop® Remix,Taylor Swift,2018,160,84,58,-5,10,50,190,13,22,52,pop
1675,Lemon,N.E.R.D,2018,95,73,92,-7,12,20,220,0,9,68,hip hop
1676,Sing,Ed Sheeran,2015,120,67,82,-4,6,94,235,30,5,71,pop
1677,Influence,Tove Lo,2017,105,59,77,-10,11,33,225,10,5,54,dance pop
1678,Freak,Kelly Rowland,2013,104,78,65,-5,12,45,274,13,6,28,atl hip hop
1679,Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,2015,123,89,76,-5,62,78,189,2,3,58,french indie pop
1680,Shake It Off,Taylor Swift,2014,160,80,65,-5,33,94,219,6,17,78,pop
1681,Wherever I Go,OneRepublic,2016,100,69,55,-6,27,35,170,9,4,66,dance pop
1682,...Ready For It? - BloodPop® Remix,Taylor Swift,2018,160,84,58,-5,10,50,190,13,22,52,pop
1683,Try,P!nk,2012,104,63,67,-7,9,55,248,0,3,74,dance pop
1684,PILLOWTALK,ZAYN,2016,125,70,59,-4,9,43,204,10,5,66,dance pop
1685,Too Good,Drake,2016,118,65,79,-8,10,39,263,5,10,74,canadian hip hop
1686,Rolling in the Deep,Adele,2011,105,76,73,-5,5,52,228,13,3,76,british soul
1687,Free Me,Sia,2017,87,46,27,-4,14,21,286,85,3,44,australian dance
1688,Boyfriend,Justin Bieber,2012,97,55,72,-6,13,33,171,4,5,71,canadian pop
1689,"Happy - From ""Despicable Me 2""",Pharrell Williams,2014,160,82,65,-5,9,96,233,22,18,79,dance pop
1690,Paris,The Chainsmokers,2017,100,64,65,-7,9,25,222,2,3,76,electropop
1691,Love Me Again,John Newman,2014,126,89,50,-5,10,21,240,0,4,73,pop
1692,Sugar,Maroon 5,2015,120,79,75,-7,9,88,235,6,3,81,pop
1693,That's What I Like,Bruno Mars,2017,134,56,85,-5,9,86,207,1,4,83,pop
1694,You're Mine (Eternal),Mariah Carey,2014,149,58,63,-7,38,56,224,28,7,38,dance pop
1695,Last Friday Night (T.G.I.F.),Katy Perry,2011,126,81,65,-4,67,72,231,0,4,27,dance pop
1696,Hello,Adele,2015,158,45,48,-6,9,29,295,34,3,73,british soul
1697,St Jude,Florence + The Machine,2015,117,43,26,-11,11,9,225,75,3,47,art pop
1698,The Way,Ariana Grande,2013,82,88,65,-3,8,86,227,29,11,68,dance pop
1699,Payphone,Maroon 5,2012,110,75,74,-5,29,55,231,2,4,79,pop
1700,Pep Rally,Missy Elliott,2016,90,75,83,-4,20,32,263,22,12,47,dance pop
1701,Here,Alessia Cara,2015,120,82,38,-4,8,33,199,8,10,68,canadian contemporary r&b
1702,Takeaway,The Chainsmokers,2019,100,51,53,-8,10,35,210,13,3,83,electropop
1703,Naturally,Selena Gomez & The Scene,2010,133,90,61,-5,5,88,203,2,5,64,dance pop
1704,Daylight,Maroon 5,2013,120,67,66,-5,26,37,225,0,3,66,pop
1705,Sucker,Jonas Brothers,2019,138,73,84,-5,11,95,181,4,6,86,boy band
1706,"Let It Go - From ""Frozen / Single Version",Demi Lovato,2014,140,66,50,-6,27,25,226,3,4,63,dance pop
1707,Mirrors - Radio Edit,Justin Timberlake,2013,77,60,58,-6,43,65,277,14,5,60,dance pop
1708,It Ain't Me (with Selena Gomez),Kygo,2017,100,53,64,-7,9,52,221,12,7,79,edm
1709,All of Me,John Legend,2014,120,26,42,-7,13,33,270,92,3,86,neo mellow
1710,Daylight,Maroon 5,2013,120,67,66,-5,26,37,225,0,3,66,pop
1711,Truth Hurts,Lizzo,2019,158,62,72,-3,12,41,173,11,11,90,escape room
1712,Hello,Adele,2015,158,45,48,-6,9,29,295,34,3,73,british soul
1713,I Knew You Were Trouble.,Taylor Swift,2012,77,47,62,-7,3,68,220,0,4,77,pop
1714,What's My Name?,Rihanna,2011,100,79,69,-3,8,58,263,23,7,69,barbadian pop
1715,Maps,Maroon 5,2014,120,71,74,-6,6,88,190,2,3,78,pop
1716,Reggaetón Lento (Remix),CNCO,2017,94,91,53,-3,10,62,189,15,9,71,boy band
1717,Lose Yourself to Dance,Daft Punk,2013,100,66,83,-8,8,67,354,8,6,72,electro
1718,Get Low (with Liam Payne),Zedd,2017,108,93,72,-4,5,54,205,3,5,66,complextro
1719,24K Magic,Bruno Mars,2017,107,80,82,-4,15,63,226,3,8,69,pop
1720,I Know What You Did Last Summer,Shawn Mendes,2016,114,77,68,-5,16,72,224,11,10,57,canadian pop
1721,All About That Bass,Meghan Trainor,2015,134,88,81,-4,11,96,189,5,5,65,dance pop
1722,Clarity,Zedd,2013,128,78,51,-3,7,18,271,4,7,75,complextro
1723,Up,Olly Murs,2015,115,85,69,-5,10,64,224,2,3,69,dance pop
1724,Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,2018,100,64,75,-5,11,45,186,25,9,64,downtempo
1725,Night Changes,One Direction,2015,120,52,67,-8,12,37,227,86,4,77,boy band
1726,Boom Boom,RedOne,2018,110,76,75,-8,20,58,248,0,5,53,moroccan pop
1727,Someone Like You,Adele,2011,135,33,56,-8,10,28,285,89,3,80,british soul
1728,Heartbeat Song,Kelly Clarkson,2015,149,80,49,-4,6,48,199,1,5,69,dance pop
1729,Elastic Heart,Sia,2015,130,79,42,-5,15,50,257,1,5,73,australian dance
1730,Desire,Years & Years,2016,126,78,71,-5,30,64,203,30,6,58,dance pop
1731,First Time,Kygo,2017,90,59,63,-7,10,68,194,20,11,71,edm
1732,Perfect Illusion,Lady Gaga,2016,125,86,61,-5,36,66,182,0,4,67,dance pop
1733,Clarity,Zedd,2013,128,78,51,-3,7,18,271,4,7,75,complextro
1734,Love Yourself,Justin Bieber,2016,100,38,61,-10,28,52,234,84,44,83,canadian pop
1735,Roses,The Chainsmokers,2016,100,80,71,-7,31,34,227,4,6,74,electropop
1736,Raise Your Glass,P!nk,2011,122,64,68,-7,12,56,208,0,12,38,dance pop
1737,Super Bass,Nicki Minaj,2011,127,74,77,-7,40,59,201,6,23,38,dance pop
1738,Wide Awake,Katy Perry,2012,160,68,51,-5,39,57,221,7,4,68,dance pop
1739,Girls Like You (feat. Cardi B),Maroon 5,2019,125,54,85,-7,13,45,236,57,5,81,pop
1740,Wake Me Up,Avicii,2013,124,78,53,-6,16,64,247,0,5,85,big room
1741,People Like Us,Kelly Clarkson,2013,128,79,60,-5,36,61,259,4,4,45,dance pop
1742,Needed Me,Rihanna,2016,111,31,67,-8,8,30,192,11,24,80,barbadian pop
1743,Live It Up,Jennifer Lopez,2013,128,73,69,-5,33,65,244,1,17,57,dance pop
1744,Moment 4 Life - Album Version (Edited),Nicki Minaj,2011,130,88,50,-4,22,37,279,39,38,28,dance pop
1745,What Do You Mean? - Acoustic,Justin Bieber,2015,125,36,77,-11,10,76,204,79,4,64,canadian pop
1746,For You (With Rita Ora),Liam Payne,2018,113,80,54,-5,42,18,243,2,3,67,dance pop
1747,Talk Dirty (feat. 2 Chainz),Jason Derulo,2014,100,65,76,-7,31,76,178,3,23,68,dance pop
1748,Wrecking Ball,Miley Cyrus,2013,120,42,53,-6,11,35,221,41,3,77,dance pop
1749,No Guidance (feat. Drake),Chris Brown,2019,93,45,70,-7,16,14,261,12,15,81,dance pop
1750,Not About Angels,Birdy,2014,116,14,41,-10,9,23,190,97,4,56,neo mellow
1751,You're Mine (Eternal),Mariah Carey,2014,149,58,63,-7,38,56,224,28,7,38,dance pop
1752,I Knew You Were Trouble.,Taylor Swift,2012,77,47,62,-7,3,68,220,0,4,77,pop
1753,I'm Into You,Jennifer Lopez,2011,84,75,59,-4,8,70,200,2,14,59,dance pop
1754,Shake It Off,Taylor Swift,2014,160,80,65,-5,33,94,219,6,17,78,pop
1755,Silence,Marshmello,2018,142,76,52,-3,17,29,181,26,9,82,brostep
1756,Walks Like Rihanna,The Wanted,2013,126,82,56,-3,10,43,202,1,6,62,boy band
1757,OK - Spotify Version,Robin Schulz,2017,122,81,65,-6,13,58,189,12,6,69,dance pop
1758,Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verräter,Charli XCX,2014,92,81,68,-4,34,64,169,7,6,50,candy pop
1759,Toothbrush,DNCE,2016,105,79,55,-6,47,82,232,12,13,72,dance pop
1760,Filthy,Justin Timberlake,2018,97,58,75,-6,25,65,294,4,14,62,dance pop
1761,Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,2011,128,76,72,-4,32,62,201,1,5,76,pop
1762,Raise Your Glass,P!nk,2011,122,64,68,-7,12,56,208,0,12,38,dance pop
1763,"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",DJ Khaled,2019,136,76,53,-5,9,65,260,7,34,70,dance pop
1764,Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verräter,Charli XCX,2014,92,81,68,-4,34,64,169,7,6,50,candy pop
1765,Easy Love,Sigala,2015,124,94,68,-4,12,65,230,18,6,67,dance pop
1766,Maps,Maroon 5,2014,120,71,74,-6,6,88,190,2,3,78,pop
1767,Remember I Told You,Nick Jonas,2017,113,53,68,-6,4,84,202,14,28,53,dance pop
1768,Sing,Ed Sheeran,2015,120,67,82,-4,6,94,235,30,5,71,pop
1769,Malibu,Miley Cyrus,2017,140,78,57,-6,8,34,232,8,6,78,dance pop
1770,Night Changes,One Direction,2015,120,52,67,-8,12,37,227,86,4,77,boy band
1771,A L I E N S,Coldplay,2017,148,88,43,-5,21,25,282,0,4,41,permanent wave
1772,Girls Like You (feat. Cardi B),Maroon 5,2019,125,54,85,-7,13,45,236,57,5,81,pop
1773,Beneath Your Beautiful,Labrinth,2013,84,52,56,-6,10,23,272,23,4,70,pop
1774,Wide Awake,Katy Perry,2012,160,68,51,-5,39,57,221,7,4,68,dance pop
1775,Dangerous,Jennifer Hudson,2015,109,53,90,-5,8,65,255,0,5,18,dance pop
1776,Titanium (feat. Sia),David Guetta,2012,126,79,60,-4,13,30,245,7,10,80,dance pop
1777,Naturally,Selena Gomez & The Scene,2010,133,90,61,-5,5,88,203,2,5,64,dance pop
1778,Die Young,Kesha,2013,128,70,71,-5,22,80,212,0,5,75,dance pop
1779,Treat You Better,Shawn Mendes,2017,83,82,44,-4,11,75,188,11,34,84,canadian pop
1780,Cruel (feat. ZAYN),Snakehips,2016,110,88,60,-4,16,32,228,2,12,63,dance pop
1781,I Don't Care (with Justin Bieber),Ed Sheeran,2019,102,68,80,-5,9,84,220,9,4,85,pop
1782,This Is How We Do,Katy Perry,2014,96,64,69,-6,15,80,204,2,5,66,dance pop
1783,All We Know,The Chainsmokers,2016,90,59,66,-9,12,30,194,10,3,72,electropop
1784,Lose You To Love Me,Selena Gomez,2019,102,34,51,-9,21,9,206,58,4,97,dance pop
1785,Touch (feat. Kid Ink),Little Mix,2017,102,75,64,-4,49,53,203,4,11,59,dance pop
1786,Little Lies,Hilary Duff,2016,124,76,57,-6,4,40,204,0,6,36,dance pop
1787,Imma Be,The Black Eyed Peas,2010,92,52,60,-7,31,41,258,18,37,62,dance pop
1788,Teenage Dream,Katy Perry,2010,120,80,72,-5,13,59,228,2,4,63,dance pop
1789,Tell Me You Love Me - NOTD Remix,Demi Lovato,2018,102,77,58,-5,9,76,182,5,8,44,dance pop
1790,#thatPOWER,will.i.am,2013,128,61,80,-6,7,40,280,0,6,68,dance pop
1791,Doesn't Mean Anything,Alicia Keys,2010,104,41,71,-7,10,10,273,4,3,57,hip pop
1792,On The Floor,Jennifer Lopez,2011,130,78,73,-5,7,57,285,11,5,69,dance pop
1793,no tears left to cry,Ariana Grande,2018,122,71,70,-6,29,35,206,4,6,84,dance pop
1794,Foolish Games,Jewel,2013,132,34,51,-11,12,7,250,23,3,36,alaska indie
1795,What About Love,Austin Mahone,2013,100,78,63,-7,4,28,203,0,4,54,dance pop
1796,No Vacancy (with Sebastián Yatra),OneRepublic,2017,100,76,69,-4,14,59,223,8,4,57,dance pop
1797,Marry You,Bruno Mars,2010,145,83,62,-5,10,48,230,33,4,73,pop
1798,Dynamite,Taio Cruz,2010,120,78,75,-4,4,82,203,0,9,77,dance pop
1799,Bad At Love,Halsey,2018,118,75,68,-4,9,61,181,6,3,78,dance pop
1800,Teenage Dream,Katy Perry,2010,120,80,72,-5,13,59,228,2,4,63,dance pop
1801,Behind Your Back,Nelly Furtado,2016,98,47,80,-10,7,69,228,25,4,18,canadian latin
1802,Next To Me,Emeli Sandé,2013,95,80,67,-5,11,35,197,9,4,60,dance pop
1803,The Hills,The Weeknd,2016,113,56,58,-7,14,14,242,7,5,84,canadian contemporary r&b
1804,Angel,Fifth Harmony,2017,124,53,74,-6,35,13,189,0,4,59,dance pop
1805,Someone Like You,Adele,2011,135,33,56,-8,10,28,285,89,3,80,british soul
1806,Castle Walls (feat. Christina Aguilera),T.I.,2011,80,86,45,-5,26,58,329,7,39,49,atl hip hop
1807,Wake Me Up,Avicii,2013,124,78,53,-6,16,64,247,0,5,85,big room
1808,Boom Boom,RedOne,2018,110,76,75,-8,20,58,248,0,5,53,moroccan pop
1809,Daylight,Maroon 5,2013,120,67,66,-5,26,37,225,0,3,66,pop
1810,Raise Your Glass,P!nk,2011,122,64,68,-7,12,56,208,0,12,38,dance pop
1811,Love Runs Out,OneRepublic,2014,120,93,72,-4,8,74,225,17,6,66,dance pop
1812,Lemon,N.E.R.D,2018,95,73,92,-7,12,20,220,0,9,68,hip hop
1813,Love On The Brain,Rihanna,2018,172,64,51,-5,8,38,224,7,5,82,barbadian pop
1814,When We Were Young,Adele,2016,144,59,38,-6,9,27,291,35,5,58,british soul
1815,Naturally,Selena Gomez & The Scene,2010,133,90,61,-5,5,88,203,2,5,64,dance pop
1816,Sick Boy,The Chainsmokers,2018,90,58,66,-8,12,45,193,11,5,76,electropop
1817,One More Night,Maroon 5,2012,93,82,72,-3,8,62,220,6,3,73,pop
1818,We Are Young (feat. Janelle Monáe),fun.,2012,184,64,38,-6,8,74,251,2,8,63,baroque pop
1819,Not About Angels,Birdy,2014,116,14,41,-10,9,23,190,97,4,56,neo mellow
1820,Familiar,Liam Payne,2018,93,81,64,-5,8,91,197,2,33,72,dance pop
1821,Love On Top,Beyoncé,2011,94,75,65,-5,60,65,267,8,9,76,dance pop
1822,Teenage Dream,Katy Perry,2010,120,80,72,-5,13,59,228,2,4,63,dance pop
1823,Trampoline (with ZAYN),SHAED,2019,127,46,62,-6,14,50,184,56,3,92,electropop
1824,PILLOWTALK,ZAYN,2016,125,70,59,-4,9,43,204,10,5,66,dance pop
1825,Girls Like You (feat. Cardi B),Maroon 5,2019,125,54,85,-7,13,45,236,57,5,81,pop
1826,Super Bass,Nicki Minaj,2011,127,74,77,-7,40,59,201,6,23,38,dance pop
1827,Rock N Roll,Avril Lavigne,2013,184,96,47,-3,34,67,207,1,13,61,canadian pop
1828,Hey Brother,Avicii,2014,125,78,55,-5,8,46,255,3,4,78,big room
1829,Gorilla,Bruno Mars,2014,140,54,72,-7,10,64,244,45,4,68,pop
1830,Marry You,Bruno Mars,2011,145,83,62,-5,10,48,230,33,4,73,pop
1831,Sugar (feat. Francesco Yates),Robin Schulz,2015,123,82,64,-5,16,64,219,2,6,60,dance pop
1832,Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,2016,108,88,75,-4,23,75,166,4,7,73,dance pop
1833,Loca,Shakira,2010,112,87,80,-4,9,85,193,19,7,56,colombian pop
1834,Company,Justin Bieber,2015,95,80,59,-5,8,43,208,13,6,72,canadian pop
1835,Chun-Li,Nicki Minaj,2018,129,73,69,-5,11,48,192,28,37,73,dance pop
1836,Yeah 3x,Chris Brown,2011,130,88,71,-3,9,70,242,0,4,69,dance pop
1837,TiK ToK,Kesha,2010,120,84,76,-3,29,71,200,10,14,80,dance pop
1838,24K Magic,Bruno Mars,2017,107,80,82,-4,15,63,226,3,8,69,pop
1839,What Do You Mean? - Acoustic,Justin Bieber,2015,125,36,77,-11,10,76,204,79,4,64,canadian pop
1840,Takeaway,The Chainsmokers,2019,100,51,53,-8,10,35,210,13,3,83,electropop
1841,Best Thing I Never Had,Beyoncé,2011,99,65,55,-4,9,30,254,14,3,73,dance pop
1842,Bad Liar,Selena Gomez,2018,121,41,97,-6,8,73,215,19,7,75,dance pop
1843,Bang My Head (feat. Sia & Fetty Wap),David Guetta,2015,108,87,60,-4,10,59,193,5,8,54,dance pop
1844,Muny - Album Version (Edited),Nicki Minaj,2011,98,72,80,-5,19,53,227,56,33,7,dance pop
1845,G.U.Y.,Lady Gaga,2014,110,92,62,-3,12,57,233,1,4,65,dance pop
1846,Desire,Years & Years,2016,126,78,71,-5,30,64,203,30,6,58,dance pop
1847,Just Give Me a Reason (feat. Nate Ruess),P!nk,2013,95,55,78,-7,13,44,243,35,5,81,dance pop
